Sample_ID,Label,Value_R,Value_C,Magnitude_0,Magnitude_1,Magnitude_2,Magnitude_3,Magnitude_4,Magnitude_5,Magnitude_6,Magnitude_7,Magnitude_8,Magnitude_9,Magnitude_10,Magnitude_11,Magnitude_12,Magnitude_13,Magnitude_14,Phase_0,Phase_1,Phase_2,Phase_3,Phase_4,Phase_5,Phase_6,Phase_7,Phase_8,Phase_9,Phase_10,Phase_11,Phase_12,Phase_13,Phase_14
63,nothing,0.0,0.0,200944.31,148917.953,1667401.75,561755.125,3317729.75,601063.812,860573.437,2225476.25,838003.937,1018356.625,4976768.0,847748.937,573424.875,506006.218,978073.187,-23.88,10.681,139.808,109.516,-45.251,-23.981,-7.192,58.224,26.208,-36.89,109.158,-13.58,-11.717,-18.618,-53.847
64,nothing,0.0,0.0,281233.437,236015.625,349570.593,366919.62,562502.25,672199.812,639460.312,615133.125,626951.62,950162.62,673848.125,733828.562,571957.5,990126.0,833890.5,33.38,146.617,-27.253,1.915,82.739,-48.801,25.838,34.811,55.283,75.75,42.452,38.9,27.51,29.188,33.989
65,nothing,0.0,0.0,227975.859,165280.62,626654.62,520231.781,554615.25,10307366.0,1890051.0,1066593.875,498676.5,843125.62,3012149.5,866095.187,783873.687,773876.25,725085.375,-121.775,39.442,-52.65,55.508,-45.752,-68.669,-12.725,31.3,50.337,-2.991,124.915,-17.49,36.781,-11.433,14.62
66,nothing,0.0,0.0,231642.593,162566.218,634468.687,509283.75,552755.375,6462685.0,1911295.0,1031843.937,493329.843,878498.875,2777236.5,858126.937,787935.0,771517.312,734427.5,-121.833,39.978,-48.898,54.86,-47.723,-63.829,-5.11,29.563,50.874,0.628,120.76,-18.358,38.615,-12.721,15.52
67,nothing,0.0,0.0,168987.234,269557.125,801674.62,407748.0,1312928.0,740954.812,1034530.562,547587.25,448660.5,1116755.75,698228.625,705384.125,632911.687,663643.0,933518.937,-27.2,-173.899,68.352,-62.286,26.684,24.447,18.332,56.87,53.187,53.448,46.388,30.434,21.445,18.282,71.94
68,nothing,0.0,0.0,251417.265,169219.484,355661.781,394840.187,583034.687,825522.0,1119729.5,985624.937,849028.187,1086456.75,3537375.75,708924.187,472234.937,607326.812,1052147.0,44.269,-36.136,-67.997,157.728,55.756,-23.398,-25.454,90.96,61.691,-45.56,91.824,-23.534,5.274,-55.516,-51.789
69,nothing,0.0,0.0,144285.31,86906.96,220292.296,535001.312,155535.453,210878.953,192789.14,181920.281,220241.953,194271.453,177479.31,215950.15,197848.265,189494.921,224140.31,-153.381,175.954,-171.782,-171.855,-177.883,-160.86,-171.63,-160.976,-167.512,-164.914,-157.647,-157.673,-162.127,-156.148,-169.521
70,nothing,0.0,0.0,659145.187,186768.734,850808.25,262115.812,383996.718,785939.875,1389312.75,2720955.25,953980.5,6651223.0,1510797.375,1019986.5,591573.812,815443.437,1442367.25,82.337,-73.8,98.233,-146.36,21.25,-82.649,-48.485,11.423,53.857,-112.911,16.742,-18.835,-29.341,-61.883,-64.725
71,nothing,0.0,0.0,314552.93,155788.562,375895.218,363432.937,358893.93,618892.562,547413.75,5890431.5,1909329.5,972794.375,1139659.125,514356.687,423272.968,527448.812,390797.218,22.509,-51.85,-75.616,137.385,34.774,-36.487,-76.35,-43.148,-1.858,-109.22,-84.987,-51.722,-32.66,-54.18,-73.854
72,nothing,0.0,0.0,532796.687,253169.328,1608089.125,204069.484,389359.531,278194.843,268759.343,347670.843,279162.781,267731.718,193731.875,171703.718,150828.281,129469.304,119765.257,-44.12,-155.176,-137.621,-80.896,-99.992,-80.95,-74.385,-87.59,-70.927,-89.848,-87.442,-80.314,-70.666,-78.761,-87.208
